GDAY_DS,T_ID,VS_T_ID,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SF,BB,HP,KK,GD,OBP,win
20190405,KT,LG,32,29,0,0,2,0,0,0,0,0,0,3,0,10,1,0.15625,0
20190405,NC,OB,37,35,7,7,10,2,0,4,0,0,0,1,1,3,1,0.324324324,1
20190405,OB,NC,36,34,3,3,8,0,0,1,0,0,0,1,1,9,1,0.277777778,0
20190405,SS,SK,38,35,0,0,8,2,0,0,2,0,0,3,0,7,0,0.289473684,0
20190405,SK,SS,38,33,3,3,9,2,0,0,2,0,0,4,1,7,1,0.368421053,1
20190405,WO,HT,43,37,4,4,11,2,0,1,2,0,0,6,0,11,1,0.395348837,0
20190405,HT,WO,37,35,5,6,11,8,2,1,0,0,0,2,0,9,1,0.351351351,1
20190406,HH,LT,41,37,7,7,11,6,0,1,8,0,1,3,0,13,0,0.341463415,0
20190406,LT,HH,36,31,8,9,8,4,2,0,4,0,0,5,0,3,1,0.361111111,1
20190406,LG,KT,37,30,1,1,7,2,0,1,0,1,0,6,1,1,3,0.378378378,0
20190406,KT,LG,32,28,2,2,4,0,0,0,0,0,0,3,1,6,0,0.25,1
20190406,NC,OB,39,34,5,6,9,10,0,0,0,0,1,2,2,6,1,0.333333333,1
20190406,OB,NC,43,38,5,5,11,6,0,0,0,0,0,4,1,5,0,0.372093023,0
20190406,SS,SK,31,30,1,1,3,4,0,0,2,0,1,0,0,8,0,0.096774194,0
20190406,SK,SS,34,31,2,2,8,0,0,0,0,0,1,1,0,10,0,0.272727273,1
20190406,WO,HT,54,40,13,14,14,8,0,0,2,0,2,11,1,6,0,0.481481481,1
20190406,HT,WO,38,34,4,4,8,0,0,1,2,0,1,3,0,8,0,0.289473684,0
20190407,HH,LT,39,36,16,16,19,6,0,2,0,0,0,3,0,7,2,0.564102564,1
20190407,LT,HH,23,23,1,1,5,0,0,1,2,0,0,0,0,8,0,0.217391304,0
20190407,LG,KT,36,30,3,3,5,0,0,2,0,0,0,5,0,3,1,0.285714286,0
20190407,KT,LG,34,32,4,4,8,2,0,1,4,0,0,2,0,5,1,0.294117647,1
20190407,NC,OB,41,36,5,5,12,6,0,0,0,1,1,3,0,5,1,0.375,1
20190407,OB,NC,37,33,2,3,8,2,2,1,0,1,0,4,0,7,1,0.324324324,0
20190407,SS,SK,43,35,2,2,9,6,0,0,2,0,0,7,0,6,0,0.380952381,0
20190407,SK,SS,34,31,3,3,7,2,0,2,2,0,0,3,0,6,1,0.294117647,1
20190409,KT,WO,39,36,3,3,9,0,0,1,0,0,0,2,1,9,0,0.307692308,0
20190409,WO,KT,43,30,7,7,9,4,0,1,2,2,1,12,0,8,1,0.488372093,1
20190410,KT,WO,38,35,2,2,8,2,0,0,2,0,0,3,0,7,0,0.289473684,0
20190410,WO,KT,36,29,4,4,7,2,2,1,4,0,0,5,2,7,2,0.388888889,1
20190410,NC,HT,38,34,1,1,8,4,0,0,0,3,0,4,0,6,2,0.315789474,0
20190410,HT,NC,40,33,2,2,9,4,0,1,2,2,1,3,2,6,0,0.358974359,1
20190410,OB,LT,35,31,1,3,6,2,2,0,2,1,0,3,0,5,1,0.264705882,1
20190410,LT,OB,37,34,1,1,6,2,0,1,0,0,0,2,1,12,0,0.243243243,0
20190410,SK,HH,41,36,7,8,11,4,0,1,0,0,0,4,1,7,1,0.390243902,1
20190410,HH,SK,37,36,2,3,9,2,0,0,0,0,0,1,0,8,1,0.27027027,0
20190410,SS,LG,37,33,5,6,6,2,2,0,2,0,0,3,1,12,1,0.27027027,1
20190410,LG,SS,37,32,5,5,7,4,0,1,2,0,1,4,0,4,1,0.297297297,0
20190411,KT,WO,40,38,5,8,13,4,0,2,4,0,1,1,0,9,1,0.35,1
20190411,WO,KT,34,32,1,1,5,2,0,1,0,0,0,2,0,7,0,0.205882353,0
20190411,NC,HT,38,36,4,4,12,4,0,0,0,1,0,0,1,9,1,0.351351351,1
20190411,HT,NC,37,34,2,2,9,6,0,0,2,0,0,3,0,9,2,0.324324324,0
20190411,OB,LT,40,36,5,5,11,2,0,0,4,0,1,3,0,6,0,0.35,1
20190411,LT,OB,37,35,1,1,10,4,0,1,0,0,0,2,0,9,2,0.324324324,0
20190411,SK,HH,35,33,1,1,8,4,0,0,0,1,0,2,0,9,1,0.285714286,1
20190411,HH,SK,31,31,0,0,5,0,0,0,2,0,0,0,0,8,1,0.161290323,0
20190411,SS,LG,32,28,2,2,6,0,0,1,0,0,0,2,1,6,4,0.290322581,0
20190411,LG,SS,36,34,4,5,10,4,2,1,4,0,0,2,0,6,0,0.333333333,1
20190412,HH,WO,33,32,3,3,9,4,0,1,0,0,0,1,0,7,4,0.303030303,0
20190412,WO,HH,38,32,5,5,11,6,2,1,2,0,0,5,1,7,2,0.447368421,1
20190412,HT,SK,50,46,3,4,12,4,0,0,2,0,1,2,0,10,1,0.285714286,0.5
20190412,SK,HT,61,45,4,4,10,2,2,0,2,0,0,11,4,11,0,0.416666667,0.5
20190412,KT,SS,30,29,0,0,2,0,0,0,0,0,0,0,1,13,0,0.1,0
20190412,SS,KT,37,30,4,5,8,2,0,0,2,1,0,6,1,3,2,0.405405405,1
20190412,LT,NC,34,33,1,1,8,0,0,0,0,0,0,1,0,6,2,0.264705882,0
20190412,NC,LT,31,28,2,2,6,2,0,1,0,2,0,3,0,10,0,0.290322581,1
20190412,OB,LG,34,31,0,0,7,2,0,0,0,0,0,3,0,9,2,0.294117647,0
20190412,LG,OB,33,30,3,3,10,0,0,0,2,1,1,1,0,5,1,0.34375,1
20190413,HH,WO,39,36,3,3,12,2,2,0,2,0,0,2,0,7,2,0.368421053,0
20190413,WO,HH,40,35,5,5,12,6,0,0,4,0,0,5,0,5,1,0.425,1
20190413,HT,SK,36,33,6,6,8,2,0,2,0,0,1,1,1,5,1,0.277777778,1
20190413,SK,HT,44,35,4,4,8,4,0,2,4,0,0,8,1,8,0,0.386363636,0
20190413,KT,SS,38,35,4,5,12,2,0,1,2,2,0,2,0,4,0,0.378378378,1
20190413,SS,KT,40,33,3,3,6,6,0,1,0,0,0,6,1,7,1,0.325,0
20190413,LT,NC,39,36,5,5,10,0,0,2,0,0,0,3,0,10,0,0.333333333,0
20190413,NC,LT,42,35,7,7,12,8,0,1,0,0,0,7,0,6,1,0.452380952,1
20190413,OB,LG,41,34,2,2,6,0,0,1,2,0,0,6,1,8,0,0.317073171,0
20190413,LG,OB,41,37,5,5,13,4,0,0,2,0,0,4,0,4,1,0.414634146,1
20190414,HH,WO,45,40,3,3,11,4,0,1,0,0,0,4,1,13,1,0.355555556,1
20190414,WO,HH,40,39,2,2,11,6,0,0,2,1,0,1,0,9,0,0.3,0
20190414,HT,SK,37,35,4,4,9,2,0,2,0,0,0,2,0,6,0,0.297297297,1
20190414,SK,HT,36,31,2,2,6,0,0,0,2,0,0,4,1,7,2,0.305555556,0
20190414,KT,SS,47,42,12,12,15,6,0,1,0,0,0,5,0,10,1,0.425531915,0
20190414,SS,KT,42,35,13,14,15,0,2,3,4,1,1,5,0,5,1,0.487804878,1
20190414,LT,NC,37,36,1,1,9,2,0,0,0,0,0,0,1,6,1,0.27027027,0
20190414,NC,LT,40,32,7,8,10,4,0,2,0,0,1,6,1,5,2,0.425,1
20190414,OB,LG,45,37,6,8,13,4,0,0,6,0,2,4,2,3,1,0.422222222,1
20190414,LG,OB,30,29,0,0,5,2,0,0,0,0,0,1,0,5,2,0.2,0
20190416,HH,KT,36,32,2,2,7,4,0,0,0,1,0,4,0,4,2,0.305555556,0
20190416,KT,HH,29,24,4,4,5,0,0,1,2,3,0,4,0,6,2,0.321428571,1
20190416,HT,LT,47,38,9,9,13,2,2,0,0,1,0,9,0,9,1,0.468085106,0
20190416,LT,HT,42,38,9,10,15,8,0,0,0,0,1,3,0,7,0,0.428571429,1
20190416,LG,NC,49,40,7,7,9,0,0,0,2,0,1,4,3,8,1,0.333333333,1
20190416,NC,LG,43,39,0,2,6,0,0,0,0,0,0,3,1,7,1,0.23255814,0
20190416,SK,OB,36,36,3,3,8,0,0,0,0,0,0,0,0,6,0,0.222222222,0
20190416,OB,SK,40,32,7,8,15,2,0,1,4,1,1,5,0,6,1,0.526315789,1
20190416,WO,SS,42,36,4,4,10,6,0,1,4,2,0,6,0,7,0,0.380952381,1
20190416,SS,WO,34,32,0,0,5,0,0,0,0,0,0,2,0,8,0,0.205882353,0
20190417,HH,KT,41,32,8,8,8,6,0,0,8,0,2,7,0,10,1,0.365853659,1
20190417,KT,HH,40,37,5,5,11,4,0,1,0,0,0,3,0,9,1,0.35,0
20190417,HT,LT,47,42,6,6,14,4,0,2,2,0,1,4,0,13,0,0.382978723,0
20190417,LT,HT,48,41,7,8,16,2,2,2,0,0,0,4,1,7,0,0.456521739,1
20190417,LG,NC,56,47,3,4,13,4,0,0,2,0,0,6,1,14,0,0.37037037,1
20190417,NC,LG,51,44,2,2,10,6,2,0,0,0,0,5,2,11,3,0.333333333,0
20190417,SK,OB,36,33,2,3,7,2,0,1,0,0,0,3,0,7,0,0.277777778,0
20190417,OB,SK,42,33,11,12,12,4,0,1,0,0,3,6,0,5,2,0.428571429,1
20190417,WO,SS,39,35,5,5,11,6,0,0,0,0,1,3,0,3,1,0.358974359,1
20190417,SS,WO,35,31,3,3,4,2,0,1,0,0,1,3,0,8,0,0.2,0
20190418,HH,KT,40,36,5,5,10,8,0,1,0,0,0,3,1,6,0,0.35,0
20190418,KT,HH,36,33,6,6,10,4,4,1,2,0,0,3,0,5,2,0.361111111,1
20190418,HT,LT,43,38,9,9,11,2,0,2,0,0,0,5,0,7,0,0.372093023,0
20190418,LT,HT,46,36,9,10,13,8,4,1,0,0,2,7,1,6,0,0.456521739,1
20190418,LG,NC,38,38,5,6,9,4,0,2,0,1,0,0,0,11,0,0.236842105,1
20190418,NC,LG,34,32,1,1,8,0,0,0,0,0,0,2,0,10,2,0.294117647,0
20190418,SK,OB,38,34,3,4,8,0,0,0,4,0,0,3,0,8,0,0.297297297,1
20190418,OB,SK,39,34,3,3,9,6,2,0,0,0,1,4,0,5,2,0.333333333,0
20190418,WO,SS,45,38,4,4,8,4,2,0,0,0,1,5,0,6,3,0.295454545,0
20190418,SS,WO,48,42,5,5,14,10,2,0,0,0,0,4,0,11,0,0.391304348,1
20190419,KT,LT,40,35,4,6,10,4,0,0,4,1,0,4,0,6,0,0.358974359,1
20190419,LT,KT,41,33,2,5,6,2,0,0,0,1,0,8,0,5,0,0.341463415,0
20190419,NC,SK,50,45,14,14,21,10,0,3,0,0,0,3,0,7,1,0.5,1
20190419,SK,NC,46,40,11,11,11,4,4,2,0,0,0,5,1,12,0,0.369565217,0
20190419,OB,HT,45,33,8,8,7,8,2,1,0,1,1,9,2,4,0,0.4,1
20190419,HT,OB,47,38,5,6,14,6,2,1,2,0,0,6,1,7,1,0.466666667,0
20190419,SS,HH,51,46,3,3,13,2,0,2,6,0,0,5,0,13,0,0.352941176,0
20190419,HH,SS,42,33,4,4,8,2,0,1,0,1,2,5,0,9,2,0.325,1
20190419,WO,LG,48,40,13,13,15,8,0,1,2,0,1,6,1,8,1,0.458333333,1
20190419,LG,WO,37,36,3,3,10,2,0,0,2,0,0,1,0,10,1,0.297297297,0
20190420,KT,LT,45,36,4,4,9,2,0,1,2,0,1,7,0,9,0,0.363636364,0
20190420,LT,KT,40,33,5,5,8,2,0,1,0,0,1,5,0,10,1,0.333333333,1
20190420,NC,SK,38,35,4,4,10,4,0,1,0,0,1,1,1,7,0,0.315789474,0
20190420,SK,NC,41,38,10,10,15,6,0,3,0,0,1,1,1,5,0,0.414634146,1
20190420,OB,HT,46,35,10,10,14,6,4,1,2,0,2,9,0,3,2,0.5,1
20190420,HT,OB,34,30,1,1,5,4,0,0,0,1,1,3,0,4,0,0.235294118,0
20190420,SS,HH,43,38,5,5,12,8,0,0,0,0,2,3,0,8,0,0.348837209,0
20190420,HH,SS,40,36,12,12,12,8,0,1,2,0,1,3,0,6,0,0.375,1
20190420,WO,LG,40,35,7,7,10,4,0,0,4,0,0,3,1,8,1,0.358974359,1
20190420,LG,WO,36,34,3,3,8,2,0,0,0,1,0,2,0,5,0,0.277777778,0
20190421,KT,LT,44,37,6,6,11,6,0,2,0,0,0,6,0,7,0,0.395348837,1
20190421,LT,KT,37,30,3,3,7,0,0,0,0,0,0,5,0,7,1,0.342857143,0
20190421,NC,SK,34,31,0,1,7,4,0,0,2,0,0,2,1,8,3,0.294117647,0
20190421,SK,NC,36,32,4,4,9,2,0,2,0,0,0,4,0,7,1,0.361111111,1
20190421,OB,HT,43,34,9,9,10,2,0,2,0,1,1,6,2,6,1,0.418604651,1
20190421,HT,OB,35,32,1,2,6,6,0,0,0,0,1,2,0,4,0,0.228571429,0
20190421,SS,HH,51,47,16,16,23,12,4,1,2,0,1,3,0,3,2,0.509803922,1
20190421,HH,SS,29,27,0,0,0,0,0,0,0,1,0,1,1,13,0,0.068965517,0
20190421,WO,LG,35,33,2,3,8,0,0,0,2,1,0,1,1,4,1,0.285714286,0
20190421,LG,WO,36,29,4,5,7,6,0,0,2,1,1,4,1,6,0,0.342857143,1
20190423,HT,LG,33,29,2,2,3,4,0,0,0,0,0,2,2,6,1,0.212121212,0
20190423,LG,HT,40,31,8,9,9,4,2,1,4,0,0,9,0,3,1,0.45,1
20190423,NC,KT,38,33,3,4,9,4,0,0,0,0,1,1,2,2,1,0.324324324,1
20190423,KT,NC,38,35,3,3,8,2,0,0,2,0,0,3,0,6,0,0.289473684,0
20190423,OB,WO,41,38,9,9,13,8,2,1,0,1,1,2,0,6,0,0.365853659,1
20190423,WO,OB,36,35,3,3,8,4,2,0,2,0,0,1,0,5,0,0.25,0
20190424,HT,LG,35,32,2,3,6,6,0,0,2,0,0,3,0,9,1,0.257142857,0
20190424,LG,HT,39,37,9,10,14,6,2,0,0,0,1,1,0,4,2,0.384615385,1
20190424,LT,HH,46,40,3,4,12,2,0,0,0,1,0,5,1,10,3,0.391304348,0
20190424,HH,LT,42,37,5,5,9,4,0,1,0,1,0,4,0,8,3,0.317073171,1
20190424,NC,KT,43,38,9,10,12,10,0,3,0,1,1,2,1,5,0,0.357142857,1
20190424,KT,NC,32,31,1,2,6,2,0,0,0,0,0,0,1,5,3,0.21875,0
20190424,OB,WO,34,32,3,3,6,4,0,1,0,0,0,2,0,6,1,0.235294118,0
20190424,WO,OB,38,36,8,8,13,8,2,1,2,0,0,2,0,6,1,0.394736842,1
20190424,SK,SS,51,42,8,9,12,8,0,3,2,0,1,8,0,6,2,0.392156863,1
20190424,SS,SK,56,47,7,8,16,6,0,0,4,0,0,7,0,12,1,0.425925926,0
20190425,OB,WO,41,37,6,6,11,6,0,2,0,0,0,4,0,6,1,0.365853659,0
20190425,WO,OB,44,40,7,9,16,6,0,1,0,0,0,3,1,5,0,0.454545455,1
20190425,SK,SS,43,37,4,4,8,2,0,0,4,0,2,4,0,11,0,0.279069767,1
20190425,SS,SK,48,39,3,3,12,6,0,0,4,0,0,5,1,11,0,0.4,0
20190426,HT,WO,42,40,4,4,14,6,2,0,0,0,0,2,0,6,1,0.380952381,0
20190426,WO,HT,41,31,7,8,8,4,2,0,0,0,3,6,1,8,0,0.365853659,1
20190426,LT,OB,44,35,8,8,8,2,2,0,0,0,1,7,1,7,1,0.363636364,0
20190426,OB,LT,42,37,9,11,12,4,2,0,2,0,1,3,1,11,0,0.380952381,1
20190426,SK,KT,39,32,2,2,6,2,0,0,4,0,0,6,1,3,1,0.333333333,1
20190426,KT,SK,32,31,0,0,5,0,0,0,0,0,0,1,0,7,1,0.1875,0
20190427,HH,NC,37,30,0,1,4,0,0,0,0,0,0,6,1,7,2,0.297297297,0
20190427,NC,HH,47,44,14,15,22,14,0,2,2,0,1,1,1,8,0,0.510638298,1
20190427,HT,WO,42,33,4,6,9,4,0,0,0,0,1,7,0,7,1,0.390243902,1
20190427,WO,HT,36,35,4,4,8,4,0,2,2,0,0,1,0,8,0,0.25,0
20190427,LG,SS,45,37,8,8,12,4,0,2,0,1,0,6,1,8,0,0.431818182,1
20190427,SS,LG,35,32,0,0,7,2,0,0,2,0,0,3,0,5,1,0.285714286,0
20190427,LT,OB,33,32,0,0,5,0,0,0,0,0,0,1,0,6,0,0.181818182,0
20190427,OB,LT,41,32,5,7,10,6,0,0,2,0,1,7,1,13,1,0.43902439,1
20190427,SK,KT,30,30,2,2,4,2,0,2,0,1,0,0,0,10,0,0.133333333,1
20190427,KT,SK,38,34,1,1,8,2,0,0,0,0,1,3,0,9,0,0.289473684,0
20190428,HH,NC,38,36,4,4,9,2,0,2,0,0,0,2,0,11,0,0.289473684,0
20190428,NC,HH,41,35,10,10,11,0,0,2,2,0,0,5,1,9,1,0.414634146,1
20190428,HT,WO,43,40,5,5,14,4,0,0,6,1,0,3,0,7,0,0.395348837,0
20190428,WO,HT,44,39,12,13,16,6,0,1,0,0,0,5,0,5,1,0.477272727,1
20190428,LG,SS,34,31,2,2,6,2,2,1,2,0,0,2,1,7,2,0.264705882,1
20190428,SS,LG,34,30,1,1,6,2,0,0,0,1,1,1,1,11,0,0.242424242,0
20190428,LT,OB,33,33,2,2,7,0,2,0,0,0,0,0,0,2,1,0.212121212,0
20190428,OB,LT,47,35,9,9,10,4,0,3,2,0,1,9,2,6,0,0.446808511,1
20190428,SK,KT,38,34,3,3,9,2,0,0,0,0,0,4,0,6,0,0.342105263,1
20190428,KT,SK,31,31,0,0,5,0,0,0,0,0,0,0,0,9,1,0.161290323,0
20190430,KT,LG,54,47,9,9,15,8,0,3,2,0,1,6,0,5,0,0.388888889,0
20190430,LG,KT,55,46,10,10,19,4,0,2,4,1,1,7,0,4,3,0.481481481,1
20190430,NC,LT,35,30,1,1,4,2,0,0,2,0,0,4,1,10,1,0.257142857,0
20190430,LT,NC,35,32,6,6,9,6,0,1,0,0,0,2,1,6,1,0.342857143,1
20190430,OB,HH,32,30,1,1,7,0,0,0,2,1,0,2,0,5,2,0.28125,0
20190430,HH,OB,32,26,2,2,5,2,0,1,2,0,0,4,1,5,1,0.322580645,1
20190430,SS,HT,35,33,0,0,6,6,0,0,0,1,0,1,1,6,0,0.228571429,0
20190430,HT,SS,37,34,8,8,9,2,0,1,0,0,0,3,0,7,0,0.324324324,1
20190430,WO,SK,53,50,15,15,23,6,0,3,0,0,0,3,0,6,0,0.490566038,1
20190430,SK,WO,38,34,5,5,8,4,0,1,2,0,0,3,1,6,0,0.315789474,0
20190501,KT,LG,32,29,1,2,6,2,0,0,0,1,0,3,0,7,3,0.28125,0
20190501,LG,KT,32,31,3,3,7,4,0,0,0,0,0,0,0,6,0,0.225806452,1
20190501,NC,LT,49,39,9,9,18,8,0,1,0,0,2,6,1,4,2,0.520833333,1
20190501,LT,NC,40,35,5,5,8,4,2,1,2,1,0,5,0,7,0,0.325,0
20190501,OB,HH,39,32,1,1,7,0,0,0,0,1,0,6,1,6,1,0.358974359,0
20190501,HH,OB,32,26,4,4,5,8,0,0,0,0,0,4,1,4,1,0.322580645,1
20190501,SS,HT,44,37,8,10,15,12,0,1,4,0,2,4,1,3,3,0.454545455,1
20190501,HT,SS,39,37,2,2,11,2,2,0,0,0,0,2,0,5,1,0.333333333,0
20190501,WO,SK,32,29,0,0,6,4,0,0,2,0,0,2,1,6,4,0.28125,0
20190501,SK,WO,29,28,2,2,5,2,0,0,4,0,0,1,0,3,2,0.206896552,1
20190502,KT,LG,40,37,4,4,10,2,0,0,6,0,0,3,0,9,0,0.325,0
20190502,LG,KT,39,37,4,5,15,4,2,2,0,0,0,2,0,5,0,0.435897436,1
20190502,NC,LT,55,44,6,7,12,2,0,2,2,1,1,6,1,9,0,0.365384615,1
20190502,LT,NC,49,43,6,6,6,0,2,1,2,0,0,5,0,15,1,0.229166667,0
20190502,OB,HH,39,34,4,5,9,2,2,0,0,1,0,5,0,9,1,0.358974359,1
20190502,HH,OB,41,36,4,4,9,6,0,0,6,0,1,4,0,5,0,0.317073171,0
20190502,SS,HT,33,31,1,1,5,0,0,0,0,0,1,1,0,5,0,0.181818182,0
20190502,HT,SS,38,32,7,8,10,2,0,1,0,0,1,4,1,3,1,0.394736842,1
20190502,WO,SK,46,41,10,10,16,4,0,2,0,0,0,4,1,3,2,0.456521739,1
20190502,SK,WO,42,39,8,8,12,0,0,1,0,0,0,3,0,7,0,0.357142857,0
20190503,HT,NC,43,35,8,8,9,2,0,2,2,0,0,7,1,4,1,0.395348837,1
20190503,NC,HT,39,34,4,4,9,2,0,3,0,0,0,5,0,11,1,0.358974359,0
20190503,KT,HH,37,34,5,5,8,2,0,2,0,0,0,2,0,7,0,0.277777778,1
20190503,HH,KT,37,33,3,4,7,2,2,0,0,0,0,3,0,11,0,0.277777778,0
20190503,LG,OB,38,37,2,2,13,0,0,1,0,0,0,0,1,8,1,0.368421053,0
20190503,OB,LG,41,38,7,7,15,2,0,2,0,0,0,3,0,11,1,0.43902439,1
20190503,SK,LT,49,45,10,11,16,6,0,1,2,0,0,2,1,7,0,0.395833333,1
20190503,LT,SK,45,41,6,7,15,4,0,0,2,0,0,3,1,12,1,0.422222222,0
20190503,SS,WO,38,35,3,3,8,2,6,1,2,0,0,3,0,10,0,0.289473684,0
20190503,WO,SS,42,37,8,8,13,6,0,0,2,0,0,5,0,9,0,0.428571429,1
20190504,HT,NC,31,30,1,1,5,0,0,0,0,0,0,1,0,7,2,0.193548387,0
20190504,NC,HT,35,32,4,4,8,0,0,1,4,0,0,2,1,6,0,0.314285714,1
20190504,KT,HH,43,40,9,9,14,10,0,0,2,0,0,3,0,7,0,0.395348837,0
20190504,HH,KT,47,40,9,10,16,6,0,2,6,0,1,4,2,5,1,0.468085106,1
20190504,LG,OB,38,34,1,2,8,2,0,0,2,1,0,2,1,4,0,0.297297297,0
20190504,OB,LG,36,34,2,3,9,10,0,0,0,0,0,2,0,3,0,0.305555556,1
20190504,SK,LT,43,39,10,10,14,2,2,3,2,1,1,2,1,5,0,0.395348837,1
20190504,LT,SK,42,35,4,4,8,4,0,0,2,0,0,6,1,6,0,0.357142857,0
20190504,SS,WO,38,33,3,3,10,4,0,0,2,0,0,2,2,8,3,0.378378378,1
20190504,WO,SS,31,28,1,1,4,2,0,0,0,0,0,2,1,5,2,0.225806452,0
20190505,HT,NC,37,34,2,3,7,2,0,0,2,0,1,2,0,5,0,0.243243243,0
20190505,NC,HT,47,41,10,10,17,0,2,0,0,0,0,4,2,5,1,0.489361702,1
20190505,KT,HH,37,30,4,4,7,2,0,1,0,1,0,6,0,5,2,0.361111111,0
20190505,HH,KT,35,30,6,6,8,4,0,0,0,2,0,5,0,6,0,0.371428571,1
20190505,LG,OB,36,34,2,2,8,0,2,0,2,0,1,1,0,5,1,0.25,0
20190505,OB,LG,44,40,11,11,16,10,0,0,0,0,1,3,0,5,0,0.431818182,1
20190505,SK,LT,39,36,4,4,7,0,0,2,2,0,0,3,0,7,0,0.256410256,1
20190505,LT,SK,35,32,3,3,5,4,0,1,0,0,0,2,1,17,0,0.228571429,0
20190505,SS,WO,33,32,2,2,5,2,0,0,0,0,0,1,0,6,0,0.181818182,0
20190505,WO,SS,44,38,11,12,17,10,4,0,0,0,0,4,2,5,3,0.522727273,1
20190507,HH,SK,34,32,2,2,7,4,0,1,0,1,0,2,0,10,2,0.264705882,0
20190507,SK,HH,44,36,10,11,12,6,0,2,4,0,0,7,1,10,0,0.454545455,1
20190507,HT,OB,39,32,3,3,8,4,0,0,0,1,0,5,0,1,0,0.351351351,0
20190507,OB,HT,37,32,4,4,6,0,2,0,2,0,1,3,1,9,0,0.27027027,1
20190507,LG,WO,48,43,11,12,18,4,0,0,6,3,0,4,0,9,0,0.468085106,1
20190507,WO,LG,46,39,10,10,12,8,0,2,2,0,0,5,2,5,0,0.413043478,0
20190507,LT,KT,35,33,2,2,10,6,2,0,0,0,0,2,0,5,2,0.342857143,0
20190507,KT,LT,41,30,7,7,10,4,0,0,2,0,1,8,1,5,1,0.475,1
20190507,NC,SS,40,34,3,3,7,2,0,2,0,1,0,6,0,7,0,0.325,0
20190507,SS,NC,33,29,6,6,6,2,0,2,0,1,1,3,0,9,1,0.272727273,1
20190508,HH,SK,35,33,2,2,6,4,0,1,0,0,0,2,0,11,0,0.228571429,0
20190508,SK,HH,51,44,16,17,19,8,0,3,2,0,0,5,2,8,1,0.509803922,1
20190508,HT,OB,32,28,0,0,3,0,0,0,0,1,0,4,0,5,1,0.21875,0
