,댓글
147,이때 최형우가 여섯게임 차이 절대 못 따라 잡는다고 했을때 육절못이라 까고 어우두 드립치면서 두산이 코시 가면 기아 개바를거라 입털었던 두산팬들 아닥하게 만들어서 너무 좋았음
148,이때는 한국시리즈 역사상 최초로 파울플라이를 잡아내서 우승이 확정되기도 했습니다 
149,와 이거 그립다 역시 만루의 사나의 이범호 믿고있었어
150,    년 기아 우승이 소름 돋는 이유   잠실 주인이 기아로 헷갈릴 정도로 서포터들 응원이 미쳤음  첨으로 팬이랑 선수들이 같이 우승했다는 말이 뭔 지 느낄 정도 
151, 차전 양현종 완봉승 직관 아직도 기억난다   진짜 재밌었는뎅   
152,     기아야구 다시 보고싶다
153,우리 주찬선수    혹시 맘 바뀌면 다시 기아에 와줄 수 있나요      마지막까지 우리와 함께해요   
154,     기아도 투타 완벽한 밸런스의 팀
155,양현종 등판할때 소름   
156,이때  번 타자가 김선빈이었던 게    레전드임
157,아     정말 그립네 저때 정말 선수들 사기 만땅이라  다들 힘들어도 다시 일어나고 일어나고 그랬는데
158,진짜 진짜  재밌는 승부네요  
159,      투구보다 빠른 송구
160, 차전 양현종은 지렸다
161,  도 좋았는데    감동은 역시        종범신의 눈물  
162,양현종 진짜 개잘하네
163,타선보소 개쌔다 진짜  
164,  코시 양현종은 전설이다  
165,진짜  회말  아웃 김주형 저 송구실책 하나가 다 잡을뻔한 경기를 뒤엎을만한 실책이어서 우승하고도 계속 생각나더라  저 후로 은퇴해서 이제 안봐도되니 속이 시원하다  솔직히 나같은 생각하는 기아팬들 많을걸 
166,타고투저시즌  점대 선발  명   할타자가  명이라  번타자가 타격왕인데 나머지 둘은 이범호와 득타  할 푼 김민식  이땐 질거 같은 경기가 없었는데
167,와 기아 라인업 쩐다  
168,무엇보다 기억에 남는장면     
169,      역시 김주찬 대단하다 주루가    
170, 승 패로 몰린상황에서  회초  사만루였으면 함덕주 김강률을 올리거나 장원준이라도 올려서    이닝정도 끌고가주는 플랜이 더 좋았을텐데 지면 준우승인 순간에 니퍼트가 볼이 좋았던것도 아니고 너무 니퍼트 믿어준거같음
171,윤동아 미안하고 고마웠다 그립다
172, 연승 중인 타이거즈를 응원하며                       제발  
173,저때 만루였고 안타만 쳐도 한명들어오는것때문에 기도하면서 봤는데 공이 딱 저때 떠가지고    추억이네요
174,아 야구장가고싶다 진짜 가면 평생 안해본 엘쥐응원도 할테니까 제발 야구장 보내줘  
175, 차전 나지완의 투런홈런 보면서 역시나했네요    고기도 먹어본 놈이 잘먹는다고 큰경기에선 강한선수들이 따로 있다 
176,진짜 버니디나 한국시리즈타율 할 이때 미쳤었지
177,타선 진짜 존나 미쳤다    거를 타선이 없음  
178,이때는 잘 몰랐는데 이명기 미친듯이 잘했네    양현종 버나디나 다음으로 잘함
179,이때는 김세현이 마무리 짓고 뒤돌아서 포즈 취하는거 개간지였는데
180,역시 기아에요  너무 멋있어요 
181,이제와서 다시봐도 저때 저타순은 정말최고엿네요  
182,      마지막 아웃카운트 삼진으로 잡고 잠시 뜸들였다가 세리머니 하는거  간지네  
183,기아 이때 라인업 좋다    
184,이 때가 그리워서 왔습니다 
185,기아팬으로써 행복야구봤던 시절
186,제발 이 영상처럼 기아 오늘경기 제발 이기게 해주세요  
187,양현종은 레전드다    
188, 차전 직관갔었는데 잠실홈구장 실제로 느끼니까 찌릿찌릿했음 크   우주의기운 갸뽕 키야   
189,지금봐도 뭉클하네  그나저나 우리 주찬이 형은 어디서 뭐하는겨   보고싶은디
190,이때 기아타선 역대급이었지 김주찬 이명기 버나디나 최형우 이범호 나지완 안치홍 김민식 김선빈
191,하  벌써 년전이구나  우승은힘들겠지만 가을야구라도 가보자
192,저때는 진짜 야구볼맛 났었는데
193, 차전 양현종 그립다 
194,김윤동이 막아준게 컸다 마지막경기에서 보고싶다 윤동이 김기태 개   만 아니였음  금도 던지고 있을텐데 얼른 회복되서 힘차게 공뿌려주길  
195,그립다  
196,내 개인적인 생각으로는 타이거즈 역사상   타이거즈가 투타밸런스가 가장 완벽한 시즌이 아니였나싶다   그립다 이때가
197,이때 잊을수없다 이때 분명 시험기간이였는데 시험이고 나발이고 가서봄 이때 전율 잊을수없다
198,기아 올해는 더 길게 가을 야구 해보자 제발      
199, 차전 때 직관갔었는데 진짜 모르는사람이랑 껴안고 난리났었는데 저때가 그립다
200,와 이명기 센스 오지네
201,와 이때 기아 라인업 미쳤네      년동안 무슨일 있었던거냐
202,                   
203,  잘한다 진짜
204,주기적으로 보러 와야겠네요     스트레스 풀리네
205,버나디나 진짜 그립다   
206,     한국시리즈를 좌지우지 한건 양의지  차전  김윤동  차전    
207,야구보고 우울할 때 마다 들어와서 봅니다  
208, 차전  회말 삭제시킨 김윤동 살인날뻔한 김주형 여러모로 잊지못할 레전드
209,와 저 때 기아 김주찬 나지완 이명기 이범호 등 와 최강이다
210,엘팬인데 정말부럽다    우승을 어떻게   번을하지       
211,롤체  스타   롤 솔랭 각  게임 마다 배팅 가능하니까 옴팡지게 재밌네 롤뱃
212,롤체  스타   롤 솔랭 각  게임 마다 배팅 가능하니까 옴팡지게 재밌네 롤뱃
213,롤체  스타   롤 솔랭 각  게임 마다 배팅 가능하니까 옴팡지게 재밌네 롤뱃
214,만루의 사나이가 코시에서 만루홈런      
215,아 언제 또 이런날이 올까
216,버나디나    잘하네   
217,지려따 미쳐따  롤 뱃  너무 재미따  음료수 자판기 마냥 뽑아먹기 개꿀이자나  
218,기아 우승 하이라이트 이범호 만루홈런 그는 빛이였습니다
219,버나디나 한국시리즈에서도 잘하고 정규시즌에도 잘하고 중견수 봐주는데 왜 재계약을 안했는지 참         
220,진짜   시즌 울 아빠도 맨날 야구 봐야된다고 칼퇴하던 시절      시즌 가보자고     
221,기아도 우승할 때가 있었단 말이야            눈물난다
222,     진짜 이건 볼때마다 소름돋는다   나지완과 오버랩되는거  
223,지금 봐도 감동입니다   내년에는 대투수 양현종  기아에서 뛰는거 볼수 있겠죠 
224,버나디나 그립다 사실상 한국시리즈    
225,와 그립네    저기 홈런존에 있던 스팅어를 사고 싶었는데  
226,이때 레전드          최고의 시즌  
227,매년봐도 진짜 대단하다     년   월  일
228,  년 기아 우승 가즈아
229,우승  차전 시리즈   기뻤지만  김주혁님 소식에 암울하기도 했던 기억이   
230,한국시리즈 우승축하해요 기아
231,양현종 버나디나가 진짜 잘했구나
232,     버나디나  할 김선빈  할 다시봐도 미쳤네
233,가슴이 웅장해지고 싶을 때 찾아보는 영상
234,김주형 진짜 너는 이걸로 용서가 도저히 안된다
235,나지완 투런은 그의 선수생명을 끈질기게 연장시켰다  
236,양현종 완봉승 미쳣네
237,독산동 사는 짬차장은 두산찐팬 여수가 고향인 물차장은 기아찐팬    이 두 아저씨들 야구이야기 나오면 도망가야댔었는데        년에 두산 찢기고 분위기 곱창났었지  
238,지금봐도 타선은 진짜쎄다
239,이때정말좋았는데 명기쒸 치홍쒸 선빈쒸 주찬쒸 범호쒸 다들 넘캐미좋았는데 다들흩어져서  응원하지만  그래두아숩다  버나디나보구프다 첨기아응원하기시작함서 잠실가서 디나씨 응원많이했는데 그립다
240,  우승보고 가슴이 시려서 다시 한 번 쿵쾅쿵쾅 느끼러 왔습니다
241,이때 짐주형때문에 조마조마했었는데 다 추억이네
242,마스크 안끼던 시절    돌아가고싶다   
243,진짜 김세현 트레이드 못했으면 육절못 현실화됐다  코시에서도 힘들었을거같다
244,         에 두산에게 또 져서 위로하려 보러옴   이 시절이 그립다    언제 두산이기냐   
245,이범호 만루홈런 보고 오열했다
246,기아가 잘해야    가 산다
247, 회때 투구수  개라서 완봉 못할줄 알았는데 그걸 해네네 역시 대투수
248,기아는 항상 극적으로 우승하니까 사람을 미치게 함
249,이때 직관 갔는데    재밌었으
250,오늘 케이티 두산  차전 직관 갔다가 우승하는거 봐도 아무 감흥 없길래 보러옴  기아야  내년엔 잘하자     
251,양현종은 신인가
252, 차전 양현종 완봉이 컸다
253,이시즌 양현종은 진짜     믿고봤었는데   
254,팀 타율  할 넘고 후보 교체타자가  할 푼 치던 시절  
255,타이거즈 부활하자
256,다 모르겠고 그냥 코로나 걱정없이 직관했었다는게 부럽 
257,버나디나를 비롯해서 김주찬 등등 막강타선에 양현종 김윤동 투수들까지 참 재밌던 해
258,    년 기아   등 하고     년 그리워서 보는 사람 
259,나 지금 이거 다시봤는대  왜 이렇기 소름이 돋냐 기아   
260,이때  차전 직관 갔었는데 현종이형 진짜 랜디존슨 보는줄 알았다
261,개인적으로 캐스터분이 너무 좋앗음 이때
262,기아는   년에 한 번씩 우승한다는 말이 찐이다   그래그래  년 남았으니 기다리자 그래 기다림의 미학이니라
263,     우리가 나지완을 싫어할 수 없는 이유
264,기아 타선   지리내    
265,힘들때 마다 보러옵니다
266,나스타 양현종 계약 완료 다시한번 우승가자   
267,김주형은 다시봐도 소름이네
268,평생 못잊어      
269,이경기는 양현종이 살렸다
270,단 한번도 준우승을 한적이 없는 팀
271,슈퍼꾸랙 이상호리 정글 플레이서 꾸르르르잼 뱃하면서 구경해요 이상호 패가 정 배인건 안 비밀 롤 뱃 
272,슈퍼꾸랙 이상호리 정글 플레이서 꾸르르르잼 뱃하면서 구경해요 이상호 패가 정 배인건 안 비밀 롤 뱃 
273,슈퍼꾸랙 이상호리 정글 플레이서 꾸르르르잼 뱃하면서 구경해요 이상호 패가 정 배인건 안 비밀 롤 뱃 
274,  년경기 약속없음다봣는데    대투수 양현종선수의  회완봉 아직도소름    주처 꽃범호 나비 그립습니당  
275, 타이거즈는 어떻게 다시 강팀이 되었나 
276,근데   년우승은 다시봐도 신기함   년부터 올해까지 그래프를 그려보면 저때만 높음 저때배면  위이상도 한번도 못해봤고   제외 성적은  와카  승 패였던팀이     우주의 온 기운을 쏟은거 아닐까
277,결승전 직관은 진짜 재밌겠네
278,우승주역에 우리 호령이도 빼놓으면 섭하죠 공이 외야로 날아갔다하면 이미 라면수비 준비하고 있는 저승사자 두산 타자들이 외야공포증 느낄만한 위압감 개쩔었음
279,아니 이명기가 이렇게 잘했는데     왜    
280,엘지 한국시리즈 올라간거 부러워서 또 보러왔다   
281,스트존 미쳤네
282, 차전에 양현종이 승리 지키지 못했으면 기아 우승 거의 불가능이였음      
283,    년 인생 최고의 한해
284,김주형은 지금 봐도 킹받네
285,      더 재미있는게 뭐였을까  년이 지난 아직도 궁금하다
